Artist,Song,Lyrics,Class
Marcel Proust,A visit from Albertine (Chapter 2),visit albertine prospect rich bride certain friend wit display de strange visit m. de character puzzle red shoe duchess albeit simply autumn bear life lie intact morning succession mild day cold mist clear nearly midday change weather sufficient create world oneself anew wind howl chimney listen blow strike iron trap keen emotion like famous bow tap c minor symphony open irresistible appeal mysterious destiny change aspect nature offer similar transformation adapt desire harmonise new form thing mist moment awakening instead centrifugal fine day self centre man longing chimney corner nuptial couch shiver quest sedentary eve different world soft grey tint morning landscape taste cup chocolate try account originality physical intellectual moral life take year early blazon oblong form bare hillside present invisible form series pleasure entirely distinct incommunicable friend sense impression richly interwoven give orchestral accompaniment great deal characteristic subconscious mind fact relate point view new world mist morning immerse world know real forget time restore novelty able look picture landscape memory acquire notably series morning include morning barrack neighbour country house go saint loup spend night window curtain draw daybreak get bed trooper thin margin pond wood rest engulf uniform liquid softness mist coachman busy polish strap appear like rare figure scarcely visible eye oblige adapt mysterious vagueness half light emerge obliterate fresco bed look afternoon pictorial memory go bed wait hour come take advantage absence parent go day propose little play give evening drawing room home venture mother delicacy respect grandmother memory wish token regret pay freely sincerely give forbid outing disapprove hand consult wish reply melancholy like old know right wrong reproach having leave measure grief wish distraction sort refuse persuade grandmother solicitous thing health preservation nervous balance advise morning furnace new steam heater time light disagreeable sound intermittent hiccough whatsoever memory prolonged encounter afternoon last affinity succeed forget hear central heater hiccough remind house grey light fall like fine rain earth wove cease transparent web holiday maker appear silvery sheen fling foot bed figaro send religiously morning send article print despite absence sun intensity daylight indication half way afternoon tulle window curtain vaporous friable fine day blend beauty fragility fly wing venetian glass depress spend send note morning de mother length succeed parting painful abortive attempt mistress immediately send hope forget little time cease love send line reach day announce arrival presently short spell leave pass family doubtless afraid see renew relation inform shew think meet tangy mile divorce husband month marriage de remember tell ask behalf arrange meeting delighted dine tell evening return spend warn lose time writing de certainly arrive get letter corne surprise news time grandmother illness accuse perfidy treachery easy happen like provoke jealousy reason wish harm persuade lover dastardly attempt relation absence probable continue believe truth allegation cease love mean truth falsehood matter complete indifference friendship remain meet attempt speak attack sole answer cordial friendly smile give air beg pardon turn conversation little later occasionally fellow creature play lead life rarely disappear suddenly finality return old place odd moment lead people believe renewal old love leave breach soon painful thank soothe pleasure give incessant demand money jealousy prolong course love capable contain ingredient form imagination take start journey image incidentally sure lose way lily anemone heap persian church shroud mist trunk pretty part mistress glad begin forget property potential protector mind eye jealous picture count frequent demand money cast mistress complete idea life chart shew high temperature illness rate indication ill furnish presumption vague true forsake whichever find remarkable way rich protector demand welcome joy lull produce jealous suffering respond dispatch money naturally like think want lover lover mind eye time enable regain composure learn slight emotion successor come late night ask lover permission lie morning great comfort refresh memory live intimacy merely take great bed interfere sleep realise comfortable lie close body feel hotel bedroom know old force habit prevail sleep well feel shoulder limb unduly restless sleeplessness have night thing entirely usual disturb perception add sense repose revert disquiet letter read line venture write explicitly certainly ask dine private room tell charming young person delightful nature splendidly sure capital evening parent return end week force dine evening home write de propose evening suit message bring hear write evening o’clock time pass quickly afternoon separate letter help visit hour pass wrap conversation cease count notice vanish suddenly long way point escape reappear nimble truant time preoccupation bring distant incessantly await moment frequency uniformity tick pendulum divide multiply hour minute friend count confront incessant return desire ardent pleasure go taste day alas de company afternoon spend melancholy hear sound lift come follow sound hope sound come halt landing different sound lift continue progress floor mean desertion floor expect visitor remain time wish sound lugubrious echo sentence solitary confinement weary resign busy hour immemorial task grey day stitch shimmering needlework light shade sadden think leave thing know seamstress instal window well finish work pay attention person present room suddenly hear bell open door let come forward smile silent plump contain fulness body ready continue live come search day spend return doubt person relation trivial alter like juxtaposition different period require mistress come friend need visit person know daily round particular kind life life cease week ago smiling questioning blushing feature read question dancing master pastry cook sit say gracious cliff mind sit like enchantress hand mirror reflect time like people seldom time live intimate term certainly daily encounter surprised come sight variable appearance day day difficult recognise clear pink vapour bathe feature emerge like statue face face body grow remain scarcely shell enclose surface future outline barely visible time return early usual rule come spring mean disturb week past storm beat flower distinguish element pleasure feel return albertine fine weather tell call house like rose flower sea desire overcome moment possibly desire lazy cowardly incomplete method possess possess thing materially abode town equivalent possess spiritually materially long pose imagination horizon sea sit room poor speciman rise poor gladly shut eye order observe blemish petal imagine instead inhale salt air beach point albeit aware happen later certainly reasonable devote life woman postage stamp old snuff box picture statue example collector warning change woman charming suggestion girl abound sea beach braid hair statue church old print make admire appear charming composition suggestion stable live woman altogether soon cease thing love add sunder element reunite jealousy long period life common end see albertine ordinary woman intrigue person love suffice reincorporate amalgamate beach unrolling tide secondary suggestion long captivate eye heart perceptible fatal dangerous form regard repetition miracle thing desire anticipate course year need state regret sense simply keep collection woman people collection old quiz glass complete cabinet room rare depart customary order holiday movement year come straight furthermore stay nearly late usual long time see know people habit mix form impression period abstain come last time fine day burst albertine rosy apparition silent visit leave little well inform interval remain plunge darkness hide life eye feel little anxiety pierce time certain sign indicate new experience enter life entitle conclude girl change rapidly age reach instance intellect evidence remind day insist ardour superiority idea make write dear laugh wholeheartedly stupidity right stupid admit ought begin reply dear comic dear dear friend stupid people professor go make write letter unable follow silliness consist intelligence dawn fully develop attractive novelty feel pretty girl sit bed different line eye feature express general attitude life change partial conversion shatter resistance hurl strength vain evening remote time form couple symmetrical converse present arrangement lie sit bedside wish venture certain let kiss time rise ask stay little long concession easy obtain albeit rush house person methodical habit gracious scarcely ease company time look watch sit request finally spend hour having ask thing say follow logically say hour bear relation think desire remain indefinitely parallel like desire prevent thing say bear resemblance mind time press seek gain time speak subject absolutely alien obsess arrange sentence like utter shall accompany gesture suppose pleasure immediate demonstration gratify curiosity feel reaction follow word say leave gesture certainly love child mist outside merely content imaginative desire change weather awaken midway desire satisfied art kitchen monumental sculpture respectively dream simultaneously mingle flesh substance different warm attach point outstretched body body divergent body barely hold foot body perpendicular romanesque bas relief church represent noble fashion like classical frieze creation woman follow minister little angel visitor recognise like winged swarm summer creature winter surprise spare cupid herculaneum survive century wing slow flight weary fail grace expect porch pleasure accomplish desire set free meditation seek readily pretty woman ask course endless flow talk take care thing mind base optimistic hypothesis regard possible answer hypothesis forget outline voice retrace contour personality apparition certain word form vocabulary acceptation give say stupid protesting understand reply smile mean stupid behave like course know distinguished person similarly wish golf club smart declare selection speak duel fight say second choice second look face confess like wear moustache go far chance appear enormous announce phrase swear ignorant year early see pass certain lapse time possess adequate assortment expression reveal people easy circumstance year year mother pass daughter bestow gradually girl grow important occasion jewel evident cease little girl day express thank present strange lady give say confused help look husband comment old approach strongly mark speak girl tone bad say tell pretty paint face foot thick finally schoolgirl display manner grow woman upbringing station say face twitch look make want imitate absurd thing imitate voice look exactly like draw social treasury possible natural environment supply distinguished sense father colleague actually meet intellectual attainment hear praise appear distinguished person selection golf club incompatible family precede adjective natural text publish century research lapse time strike well augury finally appear evidence certain upheaval nature unknown sufficient justify hope announce satisfaction person opinion mean despise mind good thing possibly happen regard good solution stylish way novel manifestly alluvial deposit give suspect capricious wandering soil hitherto unknown hear word mind draw regard sit bed doubt happen woman moderate culture marry read man receive expression paraphernalia shortly metamorphosis follow wedding night begin pay call talk shyly friend girlhood notice surprise turn matron decide person intelligent sound l word precisely sign change state difference think vocabulary albertine know old vocabulary daring flight unusual person type suggest game card money lose friend reproach term feel undeserved magnificent expression dictate case sort middle class tradition old magnificat girl slightly temper confident right employ saying naturally learn word mother learn prayer greet friend expression impart time hatred feeling black suitable formal instruction piping parent goldfinch serve model young one recently hatch turn grow true goldfinch say selection appear alien growth regard encouraging long mean act react way long feel love long consider risk shatter affection long exist doubt long indifferent aware sense member little band time anxiously seek happy secure admission long day air frank good nature feel scruple believe finally decide philological discovery continue add fresh link external chain talk hide intimate desire speak have secure corner bed girl little band small rest think pretty yes answer remind little world know hear probable thing follow normal course learn see cause regret horrible word language mere sound make tooth ache large spoonful ice mouth come sit look pretty strike unpleasant contrary feel revelation outward initiation rate inward evolution unfortunately time bid good bye wish reach home time dinner bed dress time françoise get ready like have find infringement article code absence parent pay prolong visit go late argument fall ground hasten fancy ticklish tickle hour end will feel  assure understand doubtless awkward expression desire like person offer introduction venture ask say shew great service like try inquire womanly meekness like comfortable lay properly bed like right sure heavy utter word door open carry lamp come time fle chair choose moment confound having listen door peep keyhole need suppose sort scorn assure use eye instinct plainly detect dint live parent fear prudence alertness cunning end give instinctive prophetic knowledge mariner sea quarry hunter malady physician rate patient knowledge manage acquire astound stranger good reason advanced state certain art science ancient see practically source information open source large casual remark form barely conversation dinner catch wing butler inaccurately transmit kitchen mistake like theirs like fable believe false conception world preconceived idea insufficiency material disposal day possible important discovery habit insect scientist access laboratory instrument sort drawback arise menial position prevent acquire stock learn indispensable art ultimate goal consist put confusion communicate result discovery limitation work case impediment content merely paralyse flight imagination greatly strengthen course let slip artificial device example diction attitude believe say hope believe admit shadow doubt truth person condition life tell absurd time prove shocking idea way listen assertion bore witness incredulity accent report use indirect speech enable hurl deadly insult impunity narrative cook tell threaten employer win treat world like dirt number privilege concession shew story gospel go far add sure mistress vexed vain despite scant sympathy lady floor shrug shoulder unlikely fable report shocking example make teller able speak crushing lacerating force unquestionable irritating affirmation great writer attain power concentration dispense system political liberty literary anarchy bind tyranny monarch school poetry severity law state religion able reply explicit fashion speak like write like manage embody express directly sentence find fault accuse sentence silence way place thing room happen leave accident table pile letter imperative let refer dislike afford presumption feeling recipient writer evening come home troubled conscience go straight room letter neatly arrange symmetrical pile compromise document catch eye possibly fail catch eye françoise place right separate rest prominence form speech eloquence stand doorway shudder like cry excel preparation scenic effect intend enlighten spectator absence know know course appearance possess make inanimate object speak art inspire painstaking frédéric occasion hold albertine light lamp searching beam miss visible depression girl body hollow think picture justice throw light crime face suffer illumination reveal cheek sunny burnish charm face albertine general effect door sort milky pallor shew accord lamp shine surface dazzlingly uniformly colour firm glow compare sustained flesh tint certain flower take aback unexpected entry françoise exclaim lamp light strong object imagine ejaculation account confusion excuse lateness rise reply cruel ambiguity want albertine slip ear leave charm familiar vivacity take teacher accomplice insinuate psychological affirmation ask grammatical question leave room albertine seat bed know afraid ask like able resist temptation kiss fine pity respond invitation man find superfluous way pronounce word carnal seductive merely speak caress word favour conversation cover kiss highly attractive invitation come pretty girl age albertine accessible give pleasure bring eye series image bear stamp beauty recall original albertine stand beach paint background sea have real existence figure see stage know look actress suppose appear understudy moment take principal mere projection lantern real woman detach luminous mass come sole result able real life amorous facility suppose stamp magic picture learn possible touch embrace talk woman jade grape inedible decoration time fashion dinner table fruit appear plane real experience facile facile deliciously long imagine surplus knowledge life life uniform simple suppose incline provisionally agnosticism positively affirm thing think probable shew false instance turn true alas end discovery regard case romantic attraction disclosure great wealth plane reveal life attraction opposite feel dinner recognise beneath mask course existence overlay calm face feature lip press knowledge kiss cheek possible thing pleasure great kiss difference possess woman apply body piece flesh possess girl beach friend certain day know see day tremble think life obligingly reveal extent romance little girl lend study optical instrument add carnal desire accompaniment multiply hundredfold diversify desire spiritual easily assuage emerge torpor leave carnal desire aim conquest piece flesh gain possession tract memory feel wretchedness exile rise tempest round enlarge extend unable follow accomplishment assimilation impossible form look immaterial reality wait desire halfway moment recollection return furnish afresh escort kiss instead cheek comer cool fresh anonymous secret distinction long dream know taste savour colour endlessly gaze see woman mere image decorative setting life like outline sea able image detach bring close oneself gradually discern solidity colour place glass stereoscope reason woman little difficult resistance overcome know overcome interesting know approach conquer fluctuate form dimension relief human image example relativity appreciation image delightful afresh resume slender proportion silhouette setting life woman meet brothel interest remain invariable addition preserve inseparably attach impression series seascape particularly fond feel possible girl cheek kiss beach mind kiss little choose good moment forget say shall want voucher valid kiss shall sign take entitle later laugh voucher shall issue new tell thing know introduce hard calculate look tell think look like remember wait remind day friend foot jump chair old gentleman sit try remember mind moment see belong band suppose properly expect think ill breed common,Funny
Eraserheads,With A Smile,lift head baby scared thing wrong way smile win try baby worry 'cause be need hurry say easy way close door want anymore sound funny girl stay bad time fetch everyday smile happy life 'cause world everybody hate happy ending story wonder love world round let bring turn face frown little prayer song doo doo doo let hear sing time kiss away tear goodbye ,Funny
Jean-Paul Sartre,No Exit (Huis Clos),yes look like yes empire furniture observe dare gets time  room like cater sort instance use empire chair use suppose know great matter tell truth habit live furniture relish false position come like false position dining room know style point know bogus bogus speak find live empire drawing room point yes yes dare certainly expect know tell  er residence believe cock bull story tell people set foot course instrument torture  rack red hot pincer paraphernalia ah little joke little joke joke mirror notice window expect breakable damn leave toothbrush good get sense human dignity excuse smiling ask polite realize position will tolerate sorry offense mean guest ask question silly question pardon saying torture chamber thing ask bother head bathroom requisite assure bit get nerve start toothbrush good use brain ask point brush tooth yes course right want oneself look glass bronze contraption mantelpiece story suppose time stare eye stare eye mean right let card table assure conscious position shall tell feel like man drowning choking sink inch till eye water bronze atrocity fellow collector piece nightmare idea suppose order answer question will insist forget man good notion come boast catch guard face situation face toothbrush bed sleep  expect sleep sort drowsiness steal tickle ear feel eye close sleep lie sofa flash sleep fly away mile mile away rub eye start romantic quiet will scene sorry face situation say face fairly squarely will spring time size romantic come need rest bother sleep sleepy stand reason wait minute snag disagreeable disagreeable ah life break talk eyelid blink like small black shutter click make break go black eye moisten imagine restful refreshing little rest hour little respite think idea live eyelid act fool know mean eyelid sleep follow shall sleep shall endure company try understand fond tease nature tease plague prefer tease nicely break night sleep good night way compensation suppose happy little dream green field ordinary field stroll daytime light ah yes get daytime outside outside damn know mean wall passage end passage room passage stair lie  surely day uncle place head valet room floor guess light switch  turn light management cut current want remember having floor electricity want live eye open time live let quibble word eye open forever broad daylight eye head suppose take contraption mantelpiece drop lamp heavy right heavy sir need,Funny
W. A. Clouston,The Book of Noodles: Chapter 5,silly son favourite jest people droll adventure mishap silly son contrive muddle set vain poor mother try direct way get wife resource fool fool blunder disaster chronicle penny chap book nursery rhyme infinite variety hear simple go fishing catch whale water get mother pail adventure recall nursery rhyme celebrate prototype  man go sea bowl bowl strong tale long prose history simple misfortune wife outrageous cruelty tell wedding wife scold put roast meat clothe i.e. clothe morning marry drag chimney basket smoke dry dry bacon look like red herring lose sack corn go mill ground go market basket egg break way stock wife bring money egg lose wife pail burn kettle wife send buy pound soap go bridge let money fall river ragman run away clothe wonder crowning misfortune poor drink bottle sack poison weary life unfortunate son  kind wife worth gold mirth pastime commence man son joy fortune bad pretty boy father send forth day feed flock sheep half steal away lie asleep day go reap see cut finger sickle keen chap book history noodle simple misfortune imitation simple popular rustic year ago adventure silly norwegian counterpart typical english booby relate collection folk tale furnish curious example transmission popular fiction mother silly tell day build bridge river  toll wish set work bridge finish stand receipt custom man come load demand toll wisp come pedlar sort small ware pack get needle return home mother ask get day hay needle say hay mouth quoth taste like grass throw river say ought spread floor good reply dutiful remember time needle stick hay ah say mother stick cap bring home forget time following day man come bridge sack meal give pound come give gimlet meal spread floor gimlet stick cap mother tell come home bucket hold meal gimlet sleeve good  forget time day man come bridge keg brandy get pint pour sleeve come man drive goat young one give kid tread bucket mother say lead home cord round neck brandy pail day get pat butter drag home string mother despair improvement till occur noodle wife bid find lass husband meet folk way ought peace accordingly set quest wife meet cub peace say return home mother learn tell cry day go meet bridal party cry go mother fresh adventure great silly say say ride happily bride bridegroom matt set seek wife see road bear take ride horse  exclaim joyfully ride happily bride bridegroom return home mother hearing new piece folly tell cry devil set meet funeral procession roar devil mother say cry poor soul mercy send time look lass road see gipsy busy skin dead dog piously exclaim poor soul mercy mother go wife find lass willing marry invite dinner privately tell comport presence sweetheart cast eye understand instruction literally steal pluck eye sheep goat put pocket seat sweetheart cast sheep eye hit incident see occur man ante p. find venetian abridge story silly tale  story entitle fool follow time mother son little brain morning say early bread rise early begin bread mother loaf take pain size son say finally small loaf mother say matter big little proverb say large small mass good good say son bread instead take baker son take church hour say mother say large small mass throw loaf middle church go home mother say tell good bread baker mother see look cast eye return say mother wait wait cast eye exclaim go stable cut eye animal put  chief go church man woman look throw eye silly brother accord populaire slave publish old man wife son great noodle day mother say son thou shouldst people thyself sharpen rub little yes mother say moment go village see man thresh run rub nonsense cry man away continue rub till stand long beat flail lustily hardly crawl home art thou cry child ask mother relate misfortune ah child say silly thou art say aid good man wish help thresh give thee pease professor italian popular tale p. actual throwing eye occur folk tale generally  trouble cook eat occasion noodle go village meet people carry dead man aid good man exclaim wish help thresh get thrash ill time speech reach home howl fell ground beat pluck beard hair tell new mishap ah noodle say mother say peace soul thou take thy bonnet wept fall thy knee give thee meat drink go village meet marriage procession take bonnet cry grant peace soul burst tear brute say wedding company laugh amuse lament funeral leap carriage beat soundly rib home return cry beat thrash tear beard hair relate happen son say mother leap dance time go village take  pipe arm end street cart shed fire noodle run spot begin play bagpipe dance caper abuse go mother tear tell fare son say thou carry water throw fire like folk day later rib noodle go village see man roast little pig seize vessel water run throw water fire time beat get home tell mother ill luck resolve allow abroad remain fireside great fool,Funny
CoryxKenshin,Left Cheek,step hadouken hit ras like katana neck like son slow breath aye girl like left cheek butt let slow boy love uh fame man tryna step boy freaking lame get dame play,Funny
Genius,January 2021 Singles Release Calendar,wilderness new year song sober  foo fighter son grace wonderful way illegal firework hide bottle sand   haunt bucket list emotion wild dev scam well feel lonely love safe ttg agony car key thell radioactive rain true outside lightly rise adrenaline violence  blind online void  hahaha ft  butcher bill mafia anthem machine toast  pause grammar lose head  way  hics smoke fire key glock porch speak  trendy take club ft lil boom hurt business white gold face  glass suffer swallow cheat code chill walk girl like future hold,Funny
James Joyce,Finnegan’s Wake (Chap. 2.1),hear riddle robot dress circular rogue gallery bold bad bleak boy storybook tab discover know mutch divorce disgrace court flora girl scout finish establish ment demand month bunch pretty maiden pick pet peeve form enne licence guard ask leaflet witch blonde dimple delightfully approach loveliness grateful sister reflection mirror cloud opal have jilt fatally fascinated chalk sanguine picto graph safety drop fine fellow fairytale wrestle bold bad bleak boy cap pud tog bag bog gat pattern somebody car rie set bring home soap sponge scrub bring babe poder mandamus monie entree miss national rooster rag poor little old mother woman house play opposite hump go read saying programme whisper magical helmet cap pipe watch coat crest supporter cause grievance whirl flash trouble having partially covered recent impeachment egg everlasting propound cyclo logical stud sail royal semblance substance super cargo rockery engage entertaining customhouse statutory person customer component course academy grownup gentleman consult bundle dozen representa tive locomotive civic inn quest outing sloppily serve cup final bad imitation flatfish dud half sovereign chee daily rolly glen down unconcerned mystery butt miss tell lor purdah card kook believe churchyard time futurist picture pageant past history work animal variation amid messr thud blunder shadow film folk masse good people prompting longshot rock creation tastefully design mode dance arrange jest joke jig wake lend property late cement lime flood toll hoed pine hat lady present tree take graft rock blend shop beg general order mail crack cork smoker god interjection ment pit accidental music providentially arrange score start beginning need community prayer conclude exodus think add chorale good song act male bass noble respectively ye want bottle der till summit scene bearded mountain river romp nursery form include portion stand result respective neglect produce wind enactment magnificent transformation scene show radium wedding neid dawn peace pure perfect perpetual wake weary world argument follow fleshed light like like ning fool meekly loose nous shine eman lose like whip ping teat outher life choose make club corset fear act foot hoof athlete girly stir flight lease rondel waver ing air salve wile wooly father till mason catch rise viola theme stick thee thing tighty loose drum pop whistle givin yoe glee search fling die near sea calmy hugh meet face facing set force force fate fall smile pass arrest come evangelion sant wood kill maim dumm ill et proffer trifle grass space cat mother time lack look queen go seek brain lore poor lie corn growne list prank schooling nought wire wordless item wish grieve good person gentleman long time till feel true short fool ruber thinker aunt gentleman presence willing fould find hurtle stone fall ill gravy duck sod town roust  ah poor say old truly dire dire freight fullness colline bear janitor time bauble light socket while away allover noce t lack lock pass poker bid tend lute sing thing anone poor scare blabber hit mearly skoll miss trompe midst ah awe delightsome showen bud hinder sight commoner guardian boy fiend theirs cometh sink fand colour wear tire ton satisfy youth bella madama go charm madama angle slipper braught groom commoner guardian lineup rapier brother hold especially hand hold time simply gra la thong art hast feel like one theirs little hilarity lad soul lad soul toot mean clever shrug hip freak story otherwise hold noise insinuate quiet private peace preache play esteem  ruck raid run hunker belly belly prest ask time weat breath bother breath bother breath bother wor shim shome mean mean mean knight drive like lonely instead gawk thought man hat stick hit stick spoke nut hee speak sweety bird eat tough turf    dieman coral pearl lose clutch shape ring chuff inner rice whorl ah tear mater promise eye try pretti long fare forth flee mossie droop draped wilt know weep laugh lovely vaunt view poor sit glooming gleam gloaming tin celle touch tarnish wind swan hey lass gleam solde go cool good ise therefor join go buf son stay daughter bring tansy throw rue rue rue fade like clothe know day work dim deep dusk dark shade wear meet anew tryst dee dip dame desire dress dolly dolly renew truss help hop hip trip sing sky get swing toe toe fro round scatter nod girl angel garland stocking garter cap frock ring finger leap link light look night glint ramp little round rout tell apart coloratura r n b w water merely schoolgirl way go view dancing go entrance roundly miss oodle miss die wile grocer bawd slip hand haricot bag lady wait sip sup paraffin instinct herd tinkle widow knit cat cradle bountiful actress leash harrier tongue girl kneel tell priest pot chap lass woman write foot fortune money time nursery dust capital thumb buzz run away sheep bind trail way wend way go olive rue come gay pack floral blush foresake nought leaf hope ruse marry blossom flower garden palm perfection anger arbour scout ocean woad tornament complementary rage rock tummy di science visible disgrace feel funny floor cue girl know hue fain smile smile fondle praise eat nice bit fluff geste reveal odd beastie scratch start dive head give ryall puck plexus wrestle hurry come union beg wipe martial menial shrove freely macisaac belting bout chaste chaste childhood age aye tel toothsome time hang middle home prey mind son coppersmith bishop split big squeal like holy seek yank islander skiff come day tumbler rough dark till bow shower bower shirt wind pagoda permettant secular war dully gray sem era maxim ban book coach diligence succeeding banishment care melt bunker trust quit hail hurry catch regain tarry alley detour farecard year right roder safe distance nostalgia monk little ligger inclined jambs purview great ease weight dear home rage canal heave hevy chow fire clutch free leave harm ache till far alter wild primate stop rear writing handy antic de gout strap send ink lender daunt general mistake general satiety inform old sniggering press nation esse knave arrant crystal range loather leave day luncher wonder wreck tavern mother misery bare world strip poker pair look faction split beard great big gummer congeal wake delt gap low fish kettle fight free bite hat sit write set rate blotch void yield man hymn ignorance see own read write people presidency thoroughly enjoy block season account admire husband sole intimacy tell colour spit s jowly suburb formule nar de de creature comfort finis master muster mind mend flood good way black dous wagoner trist year bread cast water make good si sanctuary meet produce pan sion payment goo music follow like foil moo fore include science sonorous silence brung soul recourse course poetry tear engine weep liffe worth leave stone bandstand finale grand dream largesse early live off old highly family histrionic simple pair descendant process notorious census germane face eye like transparent man world remember one oil paint use yell trace title hovel havel rattle gin paddy get petty gussie gif itch ish shome alas dear,Funny
Babylonian Law,The Code of Hammurabi,prince call make rich increase enrich dur ilu compare sublime patron reestablish purify worship e apsu conquer quarter world great rejoice heart daily pay devotion sin enrich ur humble reverent bring wealth gish shir gal white king hear mighty lay foundation clothe gravestone green e babbar great like heaven warrior guard renew e babbar helper grant new life bring plenteous water inhabitant raise head e perfect beauty anu nana shield land reunite scatter inhabitant richly endow e gal protect king city brother firmly found farm crown e te glory redouble great holy treasure nana manage temple grave enemy help bring victory increase power glorious e black steer gore enemy beloved rejoice inhabitant sublime indefatigable e divine king city white wise broaden field heap harvest mighty come scepter crown clothe fix temple bound rich holy feast provident solicitous provide food drink provide large sacrificial offering temple capture enemy elect oracle fulfil prediction rejoice heart pure prince prayer accept satisfy heart warrior restore vessel worship ud gal gal king grant life city adab guide e princely king city irresistible warrior grant life inhabitant bring abundance temple white potent penetrate secret cave bandit save inhabitant malka misfortune fix home fast wealth establish pure sacrificial gift ea dam gal nun kingdom everlastingly great princely king city subject district nun canal sway creator spare inhabitant sublime prince make face shine present holy meal divinity care inhabitant need provide portion peace shepherd oppressed slave deed find favor provide temple suburb recognize right rule law give city protect let remain e mish mish sublime humble great god successor mighty son sin royal scion eternity mighty monarch sun ray shed light land king obey quarter world beloved i. send rule man protection right land right righteousness bring oppress code law ensnare put ban prove ensnare shall death bring accusation man accuse river leap river sink river accuser shall possession house river prove accuse guilty escape unhurt bring accusation shall death leap river shall possession house belong accuser bring accusation crime elder prove charge shall capital offense charge death satisfy elder impose fine grain money shall receive fine action produce judge try case reach decision present judgment writing later error shall appear decision fault shall pay time fine set case shall publicly remove judge bench shall sit render judgement steal property temple court shall death receive steal thing shall death buy son slave man witness contract silver gold male female slave ox sheep ass charge consider thief shall death steal cattle sheep ass pig goat belong god court thief shall pay belong free man king shall pay tenfold thief pay shall death lose article find possession person possession thing find merchant sell pay witness owner thing bring witness know property shall purchaser bring merchant sell witness buy owner shall bring witness identify property judge shall examine testimony witness price pay witness identify lost article merchant prove thief shall death owner lost article receive property buy receive money pay estate merchant purchaser bring merchant witness buy article owner bring witness identify buyer thief shall death owner receive lost article owner bring witness identify lost article evil doer traduce shall death witness hand shall judge set limit expiration month witness appear month evil doer shall bear fine pende case steal minor son shall death male female slave court male female slave free man outside city gate shall death receive house runaway male female slave court freedman bring public proclamation major domus master house shall death find runaway male female slave open country bring master master slave shall pay shekel silver slave master finder shall bring palace investigation follow slave shall return master hold slave house catch shall death slave catch run away shall swear owner slave free blame break hole house break steal shall death hole bury commit robbery catch shall death robber catch shall rob claim oath loss shall community ground territory domain compensate good steal person steal shall community pay mina silver relative fire break house come cast eye property owner house property master house shall throw self fire chieftain man common soldier order king highway war hire mercenary withhold compensation shall officer man death represent shall possession house chieftain man catch misfortune king capture battle field garden give possession return reach place field garden shall return shall chieftain man catch misfortune king son able enter possession field garden shall give shall fee father son young possession field garden shall give mother shall bring chieftain man leave house garden field hire take possession house garden field use year owner return claim house garden field shall give take possession shall continue use hire year return house garden field shall give shall chieftain man capture way king war merchant buy free bring place mean house buy freedom shall buy free house buy free shall buy free temple community temple buy free court shall buy freedom field garden house shall give purchase freedom enter withdraw way king send mercenary substitute withdraw shall death harm property captain injure captain away captain gift present king shall death buy cattle sheep king give chieftain lose money field garden house chieftain man subject quit rent sell buy field garden house chieftain man subject quit rent contract tablet sale shall break declare invalid lose money field garden house return owner chieftain man subject quit rent assign tenure field house garden wife daughter assign debt assign field garden house buy hold property wife daughter debt sell field garden house merchant royal agent public official buyer hold field house garden usufruct fence field garden house chieftain man subject quit rent furnish therefor chieftain man subject quit rent return field garden house give property field till obtain harvest therefrom prove work field deliver grain neighbor raise owner field till field let lie fallow shall grain like neighbor owner field field let lie fallow plow sow return owner waste lie field arable lazy arable shall plow fallow field year till owner gan measure area grain shall pay man rent field tillage fix rental receive rent field bad weather come destroy harvest injury fall tiller soil receive fix rental field let half share harvest grain field shall divide proportionately tiller owner tiller succeed year soil till owner raise objection field cultivate receive harvest accord agreement owe debt loan storm prostrate grain harvest fail grain grow lack water year need creditor grain wash debt tablet water pay rent year,Funny
Beautiful Eulogy,Slain,seek justice probably know peace kind peace bring account belief know notice direct corellation profession faith expression grace hopeless true man break help healthy miss open wound matter moment deconstruction dignity bury deep heart assumption selective justice social corruption system flawed cause man odd law image admit innocent complicit solicit silence injustice dismiss case forget come right time divine king bring perfect justice judge mankind difference stay seat foot rest span hand justice mercy meet virus iris blind close eyelid savior lay righteous life say forgive virus iris deep know eye sick wrath come hear warning joy come morning time mourn see lately nation go crazy look bad need hope like word maybe probably honest light problem hope probable long til dissolve capacity problem solve comfort know involve certainty road serpentine threaten serpent sting evil prowl look devour usurp king mercy wait final hour father world fall domino effect infect set afraid talk social injustice let talk throne perfect justice sound insensitive hate stench church faithful fail mention worship god speak world pain salvation come lamb slay deep know eye,Funny
Static-P,Detective Detective,wake hand cuffed tie foot know get uh ground shake like string bass smell perfume cigar wine run sound room tell watch pretend sleep thing take let body roll door limousine detective detective deduce devious deed dare dabble darkness devise defeat run hide fine deep mind figure predict move think up step special shoe detective detective tell solve crime deceive deduce darkness disguise hold track escape bag head see face remove bag untie leg realize inside base see limo comin keep cool decide stay chat gentleman need attack simply startled ask cover face reason ask treat politely detective detective case master human interaction friendly face  detective detective tell solve crime deceive deduce darkness dare detective read mind read,Funny
